Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t10.flac,['Cryptical reprise>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t11.flac,['Cosmic Charlie']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t01.flac,["Uncle John's Band"]
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t02.flac,['Black Peter']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t03.flac,['Dire Wolf']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t04.flac,["Good Lovin'"]
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t05.flac,['Dancing in the Streets']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t06.flac,['Saint Stpehen>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d3t07.flac,['In the Midnight Hour']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d2t01.flac,['Casey Jones']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t01.flac,['Morning Dew']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t02.flac,['Me & My Uncle']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t03.flac,['Hard to Handle']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t04.flac,['Cumberland Blues']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t05.flac,['Cold Rain & Snow']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t06.flac,['Alligator>']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t07.flac,['Drums>']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t08.flac,['Jam>']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t09.flac,['Bid You Goodnight Jam>']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t10.flac,['Alligator>']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t11.flac,['Caution Jam>']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t12.flac,['Feedback']
Z:\Grateful Dead\1970\gd1970-01-03.97743.sbd.gmb.sbeok.flac16\gd1970-01-03d1t13.flac,["Uncle John's Band"]
