Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d2sbdt05.flac,['Drums>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d3sbdt01.flac,['Space>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d3sbdt02.flac,['The Wheel>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d3sbdt03.flac,['Not Fade Away>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d3sbdt04.flac,['Wharf Rat>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d3sbdt05.flac,['Sugar Magnolia']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d3sbdt06.flac,["(I Can't Get No) Satisfaction"]
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t01.flac,['tuning']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t02.flac,['Bertha>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t03.flac,['Greatest Story Ever Told']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t04.flac,['Dire Wolf']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t05.flac,['Little Red Rooster']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t06.flac,['Brown Eyed Women']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t07.flac,['Cassidy']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t08.flac,['Candyman>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t09.flac,['El Paso']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t10.flac,['Althea']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d1t11.flac,['New Minglewood Blues']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t01.flac,['tuning']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t02.flac,['Alabama Getaway>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t03.flac,['The Promised Land>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t04.flac,['Ship of Fools']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t05.flac,['Lost Sailor>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t06.flac,['Saint of Circumstance>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d2t07.flac,['Drums>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d3t01.flac,['Space>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d3t02.flac,['The Other One>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d3t03.flac,['Stella Blue>']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d3t04.flac,['Man Smart (Women Are Smarter)']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d3t05.flac,['Johnny B. Goode']
Z:\Grateful Dead\1982\gd1982-02-19.94395.fob.sonyecm220t.keshavan-miller.sbeok.t-flac16\gd1982-02-19d3t06.flac,['U.S.  Blues']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t01.flac,['China Cat Sunflower >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t02.flac,['I Know You Rider']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t03.flac,['Estimated Prophet >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t04.flac,['Eyes of the World >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t05.flac,['Drums (cut) >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t06.flac,['Space >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t07.flac,['Not Fade Away >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t08.flac,['Stella Blue >']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t09.flac,['Sugar Magnolia']
Z:\Grateful Dead\1982\gd1982-02-21.144729.s2.beyerM88.tompkins.andrewf.t-flac2448\gd1982-02-21s2t10.flac,['Brokedown Palace']
