Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d3t03.flac,["He's Gone >"]
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d3t04.flac,['I Need a Miracle >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d3t05.flac,['Morning Dew']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d3t06.flac,['Johnny B. Goode']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t01.flac,['tuning']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t02.flac,['Beer Barrel Polka']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t03.flac,['Not Fade Away']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t04.flac,['Sugaree']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t05.flac,['Wang Dang Doodle']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t06.flac,['Jack-A-Roe']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t07.flac,['Queen Jane Approximately']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t08.flac,['Brown-Eyed Women']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t09.flac,['Cassidy']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t10.flac,['Tennessee Jed']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d1t11.flac,['Black Muddy River']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t01.flac,['tuning']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t02.flac,['Hell in a Bucket']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t03.flac,['Scarlet Begonias']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t04.flac,['Looks Like Rain']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t05.flac,['Terrapin Station']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t06.flac,['Drums']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t07.flac,['Space']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t08.flac,['The Other One']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t09.flac,['Stella Blue']
Z:\Grateful Dead\1989\gd1989-02-06.107030.sbd.walker-scotton-miller.t-flac16\gd1989-02-06d2t10.flac,['Turn On Your Lovelight']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t01.flac,["'Beer Barrel Polka' tuning"]
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t02.flac,['Not Fade Away']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t03.flac,['Sugaree >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t04.flac,['Wang Dang Doodle']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t05.flac,['Jack-A-Roe']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t06.flac,['Queen Jane Approximately']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t07.flac,['Brown Eyed Women']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t08.flac,['Cassidy >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s1t09.flac,['Tennessee Jed']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t01.flac,['Hell In A Bucket >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t02.flac,['Scarlet Begonias >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t03.flac,['Looks Like Rain >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t04.flac,['Terrapin Station >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t05.flac,['Drums >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t06.flac,['Space >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t07.flac,['The Other One >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t08.flac,['Stella Blue >']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t09.flac,['Turn On Your Lovelight']
Z:\Grateful Dead\1989\gd1989-02-06.116443.ec7.bowen.t-flac16\gd1989-02-06s2t10.flac,['Black Muddy River']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\01 Tuning.flac,['Tuning']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\02 Beer Barrel Polka.flac,['Beer Barrel Polka']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\03 Not Fade Away.flac,['Not Fade Away']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\04 Sugaree.flac,['Sugaree']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\05 Wang Dang Doodle.flac,['Wang Dang Doodle']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\06 Jack-A-Roe.flac,['Jack-A-Roe']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\07 Queen Jane Approximately.flac,['Queen Jane Approximately']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\08 Brown Eyed Women.flac,['Brown Eyed Women']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\09 Cassidy.flac,['Cassidy']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\10 Tennessee Jed.flac,['Tennessee Jed']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\11 Tuning.flac,['Tuning']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\12 Hell In A Bucket.flac,['Hell In A Bucket']
Z:\Grateful Dead\1989\gd1989-02-06sbd24\13 Scarlet Begonias.flac,['Scarlet Begonias']
