Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t01.flac,['I Need A Miracle >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t02.flac,['Eyes Of The World >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t03.flac,['Drums >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t04.flac,['Space >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t05.flac,['The Other One >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t06.flac,['The Wheel >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t07.flac,['Sugar Magnolia']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d2t08.flac,["It's All Over Now Baby Blue"]
Z:\Grateful Dead\1985\gd1985-03-09.091881.sbd.unknown.gems.sbeok.t-flac16\gd1985-03-09d1t01-Bertha.flac,['Bertha>']
Z:\Grateful Dead\1985\gd1985-03-09.091881.sbd.unknown.gems.sbeok.t-flac16\gd1985-03-09d1t02-One More Saturday Nite.flac,['One More Saturday Night>']
Z:\Grateful Dead\1985\gd1985-03-09.091881.sbd.unknown.gems.sbeok.t-flac16\gd1985-03-09d1t03-Sugaree.flac,['Sugaree']
Z:\Grateful Dead\1985\gd1985-03-09.091881.sbd.unknown.gems.sbeok.t-flac16\gd1985-03-09d1t04-Tuning.flac,['Tuning']
Z:\Grateful Dead\1985\gd1985-03-09.091881.sbd.unknown.gems.sbeok.t-flac16\gd1985-03-09d1t05-All Over Now.flac,["It's All Over Now"]
